observation_date,UNRATE_CPIAUCSL_PC1
2000-01-01,6.79296
2000-02-01,7.31797
2000-03-01,7.76214
2000-04-01,6.81386
2000-05-01,7.13253
2000-06-01,7.73494
2000-07-01,7.59928
2000-08-01,7.45129
2000-09-01,7.35650
2000-10-01,7.35033
2000-11-01,7.34418
2000-12-01,7.33602
2001-01-01,7.92120
2001-02-01,7.72941
2001-03-01,7.28246
2001-04-01,7.61826
2001-05-01,7.86308
2001-06-01,7.69396
2001-07-01,7.32148
2001-08-01,7.62148
2001-09-01,7.59217
2001-10-01,7.42766
2001-11-01,7.39437
2001-12-01,7.30367
2002-01-01,6.89590
2002-02-01,6.83636
2002-03-01,7.06286
2002-04-01,7.54399
2002-05-01,7.04083
2002-06-01,6.86922
2002-07-01,7.26561
2002-08-01,7.44746
2002-09-01,7.21600
2002-10-01,7.72703
2002-11-01,8.15352
2002-12-01,8.48027
2003-01-01,8.55746
2003-02-01,9.04607
2003-03-01,8.92521
2003-04-01,8.17513
2003-05-01,7.99415
2003-06-01,8.24878
2003-07-01,8.25556
2003-08-01,8.31607
2003-09-01,8.47832
2003-10-01,8.04194
2003-11-01,7.72837
2003-12-01,7.73520
2004-01-01,7.72629
2004-02-01,7.28845
2004-03-01,7.54008
2004-04-01,7.89258
2004-05-01,8.49776
2004-06-01,8.76767
2004-07-01,8.43958
2004-08-01,7.94743
2004-09-01,7.93917
2004-10-01,8.69091
2004-11-01,9.02162
2004-12-01,8.74232
2005-01-01,8.14487
2005-02-01,8.45303
2005-03-01,8.40684
2005-04-01,8.56179
2005-05-01,7.96929
2005-06-01,7.54103
2005-07-01,8.06716
2005-08-01,8.54693
2005-09-01,9.74183
2005-10-01,9.35010
2005-11-01,8.33855
2005-12-01,8.23855
2006-01-01,8.71879
2006-02-01,8.43825
2006-03-01,8.11792
2006-04-01,8.31384
2006-05-01,8.57727
2006-06-01,8.78172
2006-07-01,8.80467
2006-08-01,8.62657
2006-09-01,6.51207
2006-10-01,5.80633
2006-11-01,6.46870
2006-12-01,6.92398
2007-01-01,6.67577
2007-02-01,6.92026
2007-03-01,7.19820
2007-04-01,7.09292
2007-05-01,7.10989
2007-06-01,7.29277
2007-07-01,7.01789
2007-08-01,6.49745
2007-09-01,7.53383
2007-10-01,8.31070
2007-11-01,9.07327
2007-12-01,9.10881
2008-01-01,9.29470
2008-02-01,9.04296
2008-03-01,9.07490
2008-04-01,8.90376
2008-05-01,9.48841
2008-06-01,10.53597
2008-07-01,11.29751
2008-08-01,11.40802
2008-09-01,11.05332
2008-10-01,10.23106
2008-11-01,7.89992
2008-12-01,7.27777
2009-01-01,7.68641
2009-02-01,8.30846
2009-03-01,8.25352
2009-04-01,8.42368
2009-05-01,8.38424
2009-06-01,8.27083
2009-07-01,7.54124
2009-08-01,8.11616
2009-09-01,8.42206
2009-10-01,9.77603
2009-11-01,11.81459
2009-12-01,12.71412
2010-01-01,12.42111
2010-02-01,11.95134
2010-03-01,12.18617
2010-04-01,12.10677
2010-05-01,11.60355
2010-06-01,10.52156
2010-07-01,10.74078
2010-08-01,10.65018
2010-09-01,10.61831
2010-10-01,10.56670
2010-11-01,10.88454
2010-12-01,10.73779
2011-01-01,10.80078
2011-02-01,11.12490
2011-03-01,11.61924
2011-04-01,12.17723
2011-05-01,12.45897
2011-06-01,12.60232
2011-07-01,12.57988
2011-08-01,12.75500
2011-09-01,12.81262
2011-10-01,12.32227
2011-11-01,12.05143
2011-12-01,11.56207
2012-01-01,11.30877
2012-02-01,11.19818
2012-03-01,10.78288
2012-04-01,10.47316
2012-05-01,9.93794
2012-06-01,9.85387
2012-07-01,9.61751
2012-08-01,9.78593
2012-09-01,9.74972
2012-10-01,9.95568
2012-11-01,9.49602
2012-12-01,9.65950
2013-01-01,9.68406
2013-02-01,9.71814
2013-03-01,9.01875
2013-04-01,8.73881
2013-05-01,8.89039
2013-06-01,9.21579
2013-07-01,9.18547
2013-08-01,8.73881
2013-09-01,8.29473
2013-10-01,8.07680
2013-11-01,8.13287
2013-12-01,8.21284
2014-01-01,8.15776
2014-02-01,7.82047
2014-03-01,8.31269
2014-04-01,8.21513
2014-05-01,8.46695
2014-06-01,8.15898
2014-07-01,8.17424
2014-08-01,7.81510
2014-09-01,7.58405
2014-10-01,7.30954
2014-11-01,7.03152
2014-12-01,6.25312
2015-01-01,5.47007
2015-02-01,5.41297
2015-03-01,5.37797
2015-04-01,5.29597
2015-05-01,5.63503
2015-06-01,5.47957
2015-07-01,5.42569
2015-08-01,5.34130
2015-09-01,5.00884
2015-10-01,5.12762
2015-11-01,5.53632
2015-12-01,5.63872
2016-01-01,6.03750
2016-02-01,5.74728
2016-03-01,5.89162
2016-04-01,6.27263
2016-05-01,5.87848
2016-06-01,5.97929
2016-07-01,5.66836
2016-08-01,5.95532
2016-09-01,6.54864
2016-10-01,6.58592
2016-11-01,6.38433
2016-12-01,6.75080
2017-01-01,7.21039
2017-02-01,7.41036
2017-03-01,6.84120
2017-04-01,6.57622
2017-05-01,6.25634
2017-06-01,5.94057
2017-07-01,6.02511
2017-08-01,6.32812
2017-09-01,6.48057
2017-10-01,6.22076
2017-11-01,6.37249
2017-12-01,6.22993
2018-01-01,6.15132
2018-02-01,6.36347
2018-03-01,6.33095
2018-04-01,6.47100
2018-05-01,6.58192
2018-06-01,6.80755
2018-07-01,6.65412
2018-08-01,6.44292
2018-09-01,6.03206
2018-10-01,6.29203
2018-11-01,5.94733
2018-12-01,5.90238
2019-01-01,5.48759
2019-02-01,5.31886
2019-03-01,5.68319
2019-04-01,5.70058
2019-05-01,5.39591
2019-06-01,5.27119
2019-07-01,5.52633
2019-08-01,5.33764
2019-09-01,5.18450
2019-10-01,5.33397
2019-11-01,5.69229
2019-12-01,5.91953
2020-01-01,6.19977
2020-02-01,5.84132
2020-03-01,5.89404
2020-04-01,15.11305
2020-05-01,13.39820
2020-06-01,11.71666
2020-07-01,11.19686
2020-08-01,9.68107
2020-09-01,9.19102
2020-10-01,8.13039
2020-11-01,7.87575
2020-12-01,8.02042
2021-01-01,7.75532
2021-02-01,7.86750
2021-03-01,8.72365
2021-04-01,10.23737
2021-05-01,10.72647
2021-06-01,11.21742
2021-07-01,10.66917
2021-08-01,10.28132
2021-09-01,10.06352
2021-10-01,10.72659
2021-11-01,11.06556
2021-12-01,11.05946
2022-01-01,11.57808
2022-02-01,11.74922
2022-03-01,12.24078
2022-04-01,11.93516
2022-05-01,12.13005
2022-06-01,12.59930
2022-07-01,11.94778
2022-08-01,11.81626
2022-09-01,11.70575
2022-10-01,11.35726
2022-11-01,10.73138
2022-12-01,9.91083
2023-01-01,9.84030
